number,record_time,soc,pack_voltage,charge_current,max_cell_voltage,min_cell_voltage,max_temperature,min_temperature,available_energy,available_capacity,charging_duration_seconds
742608,2021-08-26 20:00:39,20.8,324.6,-69.70001,3.633,3.594,39,37,9.21,27.71,0.0
742609,2021-08-26 20:00:49,20.8,324.9,-70.0,3.638,3.597,39,37,9.28,27.92,10.0
742610,2021-08-26 20:00:59,21.2,325.2,-69.89999,3.639,3.601,39,37,9.349999,28.1,20.0
742611,2021-08-26 20:01:10,21.2,325.3,-70.10001,3.641,3.602,39,37,9.429999,28.37,31.0
742612,2021-08-26 20:01:20,21.2,325.5,-70.10001,3.643,3.604,39,37,9.5,28.58,41.0
742613,2021-08-26 20:01:30,21.6,325.7,-70.0,3.646,3.607,39,37,9.58,28.81,51.0
742614,2021-08-26 20:01:40,21.6,325.8,-69.89999,3.647,3.607,39,37,9.65,29.02,61.0
742615,2021-08-26 20:01:50,22.0,326.0,-70.10001,3.648,3.609,39,37,9.719999,29.25,71.0
742616,2021-08-26 20:02:00,22.0,326.1,-70.0,3.65,3.611,39,37,9.79,29.46,81.0
742617,2021-08-26 20:02:10,22.0,326.1,-70.10001,3.651,3.612,39,37,9.88,29.71,91.0
742618,2021-08-26 20:02:20,22.4,326.3,-69.89999,3.652,3.614,39,37,9.94,29.9,101.0
742619,2021-08-26 20:02:30,22.4,326.4,-70.0,3.654,3.615,39,37,10.01,30.12,111.0
742620,2021-08-26 20:02:40,22.8,326.6,-70.0,3.656,3.617,39,37,10.09,30.35,121.0
742621,2021-08-26 20:02:50,22.8,326.7,-69.89999,3.656,3.617,39,37,10.16,30.56,131.0
742622,2021-08-26 20:03:00,23.2,326.9,-70.10001,3.658,3.62,39,37,10.24,30.78,141.0
742623,2021-08-26 20:03:10,23.2,326.9,-69.89999,3.659,3.62,39,37,10.31,31.0,151.0
742624,2021-08-26 20:03:20,23.2,327.1,-70.0,3.66,3.622,39,37,10.38,31.21,161.0
742625,2021-08-26 20:03:30,23.6,327.1,-70.20001,3.662,3.622,39,37,10.46,31.44,171.0
742626,2021-08-26 20:03:40,23.6,327.2,-69.70001,3.662,3.624,39,37,10.53,31.67,181.0
742627,2021-08-26 20:03:50,24.0,327.4,-70.0,3.663,3.625,39,37,10.6,31.86,191.0
742628,2021-08-26 20:04:00,24.0,327.4,-70.0,3.665,3.627,39,37,10.67,32.1,201.0
742629,2021-08-26 20:04:10,24.0,327.5,-69.89999,3.666,3.628,39,37,10.74,32.31,211.0
742630,2021-08-26 20:04:20,24.4,327.7,-69.80002,3.667,3.63,39,37,10.82,32.53,221.0
742631,2021-08-26 20:04:30,24.4,327.7,-69.70001,3.667,3.632,39,37,10.89,32.75,231.0
742632,2021-08-26 20:04:40,24.8,327.8,-69.70001,3.668,3.632,39,37,10.96,32.96,241.0
742633,2021-08-26 20:04:50,24.8,328.0,-70.0,3.669,3.632,39,37,11.03,33.19,251.0
742634,2021-08-26 20:05:00,24.8,328.0,-70.0,3.67,3.634,39,37,11.11,33.42,261.0
742635,2021-08-26 20:05:10,25.2,328.0,-70.0,3.671,3.635,39,37,11.19,33.65,271.0
742636,2021-08-26 20:05:20,25.2,328.2,-70.0,3.671,3.636,39,37,11.26,33.86,281.0
742637,2021-08-26 20:05:30,25.6,328.3,-70.0,3.672,3.637,39,37,11.32,34.06,291.0
742638,2021-08-26 20:05:40,25.6,328.3,-70.10001,3.673,3.638,39,37,11.4,34.28,301.0
742639,2021-08-26 20:05:50,25.6,328.5,-70.20001,3.674,3.639,39,37,11.47,34.5,311.0
742640,2021-08-26 20:06:00,26.0,328.6,-69.89999,3.675,3.639,39,37,11.54,34.71,321.0
742641,2021-08-26 20:06:10,26.0,328.6,-69.80002,3.675,3.64,39,37,11.61,34.94,331.0
742642,2021-08-26 20:06:20,26.4,328.6,-69.89999,3.675,3.642,39,37,11.69,35.15,341.0
742643,2021-08-26 20:06:30,26.4,328.8,-69.89999,3.676,3.643,39,37,11.76,35.36,351.0
742644,2021-08-26 20:06:40,26.8,328.9,-69.89999,3.677,3.643,39,37,11.84,35.61,361.0
